anio,X,Y,generico_denuncia,especifico_denuncia,modalidad_denuncia,geometry,distrito
2017,-76.84466216,-12.00463023,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO,POINT (-76.84466216 -12.00463023),ATE
2017,-76.8387805,-12.01742157,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-76.8387805 -12.01742157),ATE
2017,-76.825034,-12.013411,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO,POINT (-76.825034 -12.013411),ATE
2017,-76.90617746,-12.02526724,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-76.90617746 -12.02526724),ATE
2017,-76.87932121,-12.04178345,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO,POINT (-76.87932121 -12.04178345),ATE
2017,-76.82519083,-12.01332882,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-76.82519083 -12.01332882),ATE
2017,-76.87958408,-12.02228463,,,,POINT (-76.87958408 -12.02228463),ATE
2017,-76.83184732,-12.00142555,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO,POINT (-76.83184732 -12.00142555),ATE
2017,-76.82287462,-12.02026496,,,,POINT (-76.82287462 -12.02026496),ATE
2017,-76.87932121,-12.04178345,,,,POINT (-76.87932121 -12.04178345),ATE
2017,-76.84247899,-12.0078349,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO,POINT (-76.84247899 -12.0078349),ATE
2017,-76.86760551,-12.03295997,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO,POINT (-76.86760551 -12.03295997),ATE
2017,-76.86760551,-12.03295997,,,,POINT (-76.86760551 -12.03295997),ATE
2017,-76.8771623,-12.0126478,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-76.8771623 -12.0126478),ATE
2017,-76.82495496,-12.01320529,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO,POINT (-76.82495496 -12.01320529),ATE
2017,-76.820639,-12.011336,,,,POINT (-76.820639 -12.011336),ATE
2017,-77.02174248,-12.14374413,,,,POINT (-77.02174248 -12.14374413),BARRANCO
2017,-77.01359406,-12.14073669,,,,POINT (-77.01359406 -12.14073669),BARRANCO
2017,-77.02328535,-12.1425842,,,,POINT (-77.02328535 -12.1425842),BARRANCO
2017,-77.02290569,-12.14493474,,,,POINT (-77.02290569 -12.14493474),BARRANCO
2017,-77.02056297,-12.14698318,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-77.02056297 -12.14698318),BARRANCO
2017,-77.01765289,-12.14037601,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.01765289 -12.14037601),BARRANCO
2017,-77.020609,-12.1499642,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO AGRAVADO,POINT (-77.020609 -12.1499642),BARRANCO
2017,-77.01975554,-12.14281875,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO AGRAVADO,POINT (-77.01975554 -12.14281875),BARRANCO
2017,-77.02135732,-12.14290261,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO AGRAVADO,POINT (-77.02135732 -12.14290261),BARRANCO
2017,-77.02164307,-12.14603673,,,,POINT (-77.02164307 -12.14603673),BARRANCO
2017,-77.01446152,-12.14202598,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO,POINT (-77.01446152 -12.14202598),BARRANCO
2017,-77.01388743,-12.14152385,,,,POINT (-77.01388743 -12.14152385),BARRANCO
2017,-77.01878142,-12.14196253,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.01878142 -12.14196253),BARRANCO
2017,-77.02134214,-12.14437675,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.02134214 -12.14437675),BARRANCO
2017,-77.014502,-12.1426683,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.014502 -12.1426683),BARRANCO
2017,-77.0266593,-12.0526252,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.0266593 -12.0526252),LIMA
2017,-76.956774,-12.071505,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-76.956774 -12.071505),LA MOLINA
2017,-76.95630007,-12.06648526,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-76.95630007 -12.06648526),LA MOLINA
2017,-76.95737812,-12.06568404,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO,POINT (-76.95737812 -12.06568404),LA MOLINA
2017,-76.9561614,-12.0638575,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-76.9561614 -12.0638575),LA MOLINA
2017,-76.95011162,-12.06218841,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-76.95011162 -12.06218841),LA MOLINA
2017,-76.94364123,-12.06317392,DELITOS CONTRA EL PATRIMONIO,ESTAFA Y OTRAS DEFRAUDACIONES,ESTAFA,POINT (-76.94364123 -12.06317392),LA MOLINA
2017,-77.06195026,-11.99378346,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.06195026 -11.99378346),INDEPENDENCIA
2017,-77.05841168,-11.98550662,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO,POINT (-77.05841168 -11.98550662),INDEPENDENCIA
2017,-77.06118543,-11.98045731,,,,POINT (-77.06118543 -11.98045731),INDEPENDENCIA
